Date,Closing Value
41067,760.340027
41066,765.169983
41065,746.090027
41064,737.23999
41061,737.419983
41060,761.820007
41059,762
41058,777.159973
41054,766.409973
41053,766.570007
41052,765.169983
41051,759.630005
41050,764.640015
41047,747.210022
41046,754.330017
41045,772.109985
41044,777.359985
41043,778.950012
41040,790.059998
41039,791.75
41038,788.919983
41037,793.059998
41036,793.809998
41033,791.840027
41032,806.590027
41031,818.599976
41030,815.890015
41029,816.880005
41026,825.469971
41025,818.330017
41024,812.119995
41023,798.049988
41022,791.849976
41019,804.049988
41018,798.900024
41017,803.320007
41016,810.630005
41015,798.080017
41012,796.289978
41011,808.590027
41010,796.590027
41009,784.150024
41008,803.460022
41004,818.179993
41003,820.380005
41002,834.799988
41001,840.630005
40998,830.299988
40997,832.219971
40996,834.450012
40995,839.97998
40994,846.130005
40991,830.030029
40990,821.440002
40989,829.919983
40988,829.23999
40987,837.77002
40984,830.179993
40983,831.460022
40982,823.400024
40981,831.22998
40980,814.289978
40977,817
40976,806.340027
40975,795.950012
40974,787.090027
40973,803.650024
40970,802.419983
40969,815.219971
40968,810.940002
40967,823.799988
40966,826.659973
40963,826.919983
40962,829.22998
40961,816.5
40960,823.200012
40956,828.679993
40955,829.960022
40954,813.97998
40953,820.650024
40952,824.809998
40949,813.330017
40948,824.98999
40947,828.390015
40946,827.369995
40945,828.369995
40942,831.109985
40941,812.890015
40940,809.659973
40939,792.820007
40938,792.380005
40935,798.849976
40934,792.909973
40933,795.580017
40932,788.27002
40931,783.049988
40928,784.619995
40927,782.369995
40926,779.26001
40925,765.530029
40921,764.200012
40920,770.48999
40919,767.23999
40918,764.75
40917,753.51001
40914,749.710022
40913,752.289978
40912,747.280029
40911,752.280029
40907,740.919983
40906,744.97998
40905,735.210022
40904,751.309998
40900,747.97998
40899,745.51001
40898,740.450012
40897,738.219971
40896,708.559998
40893,722.049988
40892,716.01001
40891,708.460022
40890,718.059998
40889,733.150024
40886,745.400024
40885,722.679993
40884,746.140015
40883,746.780029
40882,747.030029
40879,735.02002
40878,730.75
40877,737.419983
40876,696.099976
40875,697.900024
40872,666.159973
40870,674.340027
40869,696.26001
40868,701.900024
40865,719.419983
40864,718.75
40863,729.859985
40862,743.080017
40861,732.890015
40858,744.640015
40857,725.47998
40856,718.859985
40855,755.27002
40854,745.27002
40851,746.48999
40850,751.530029
40849,733.26001
40848,713.890015
40847,741.059998
40844,761
40843,765.429993
40842,727.150024
40841,713.650024
40840,736.030029
40837,712.419983
40836,696.419983
40835,694.369995
40834,709.340027
40833,688.599976
40830,712.460022
40829,698.820007
40828,700.380005
40827,688.969971
40826,684.900024
40823,656.210022
40822,673.799988
40821,658.109985
40820,648.640015
40819,609.48999
40816,644.159973
40815,662.799988
40814,651.969971
40813,680.22998
40812,665.619995
40809,652.429993
40808,643.419983
40807,664.580017
40806,689.950012
40805,702.22998
40802,714.309998
40801,713.51001
40800,704.119995
40799,691.73999
40798,679.76001
40795,673.960022
40794,694.919983
40793,709.469971
40792,680.869995
40788,683.359985
40787,708.919983
40786,726.809998
40785,728.080017
40784,724.650024
40781,691.789978
40780,674.419983
40779,692.570007
40778,683.070007
40777,651.340027
40774,651.700012
40773,662.51001
40772,704.030029
40771,704.76001
40770,718.630005
40767,697.5
40766,695.890015
40765,660.210022
40764,696.159973
40763,650.960022
40760,714.630005
40759,726.799988
40758,772.780029
40757,767.01001
40756,792.849976
40753,797.030029
40752,799.340027
40751,800.530029
40750,824.830017
40749,831.400024
40746,841.820007
40745,841.26001
40744,832.340027
40743,834.619995
40742,815.969971
40739,828.780029
40738,823.320007
40737,836.97998
40736,829.77002
40735,833.539978
40732,852.570007
40731,858.109985
40730,845.22998
40729,841.619995
40725,840.039978
40724,827.429993
40723,819.919983
40722,817.309998
40721,805.140015
40718,797.789978
40717,802.679993
40716,799.869995
40715,806.369995
40714,788.47998
40711,781.75
40710,781.539978
40709,779.460022
40708,793.98999
40707,777.200012
40704,779.539978
40703,792.640015
40702,788.039978
40701,797.549988
40700,795.320007
40697,808.130005
40696,820.690002
40695,821.400024
40694,848.299988
40690,836.26001
40689,830.869995
40688,820.869995
40687,810.330017
40686,814.039978
40683,829.059998
40682,835.159973
40681,833.450012
40680,820.359985
40679,822.909973
40676,835.669983
40675,847.530029
40674,840.659973
40673,855.909973
40672,842.799988
40669,833.340027
40668,829.23999
40667,832.900024
40666,843.77002
40665,854.77002
40662,865.289978
40661,861.549988
40660,858.309998
40659,853.039978
40658,844.22998
40654,845.640015
40653,839.450012
40652,823.01001
40651,821.51001
40648,834.97998
40647,827.469971
40646,823.919983
40645,822.27002
40644,833.859985
40641,840.890015
40640,849.440002
40639,854.169983
40638,853.309998
40637,849.359985
40634,846.77002
40633,843.549988
40632,840.369995
40631,829.48999
40630,821.77002
40627,823.849976
40626,817.099976
40625,811.23999
40624,808.659973
40623,813.02002
40620,794.659973
40619,785.52002
40618,781.900024
40617,791.330017
40616,798.169983
40613,802.830017
40612,799.530029
40611,821.190002
40610,824.659973
40609,812.25
40606,824.98999
40605,828.890015
40604,810.900024
40603,807.080017
40602,823.450012
40599,821.950012
40598,804.179993
40597,799.650024
40596,812.960022
40592,834.820007
40591,834.02002
40590,828.369995
40589,820.030029
40588,825.900024
40585,822.109985
40584,812.700012
40583,809.27002
40582,813.690002
40581,808.320007
40578,800.109985
40577,798.630005
40576,796.159973
40575,798.890015
40574,781.25
40571,775.400024
40570,795.429993
40569,793.719971
40568,779.960022
40567,779.280029
40564,773.179993
40563,778.080017
40562,786.890015
40561,807.559998
40557,807.570007
40556,800.650024
40555,801.359985
40554,794.76001
40553,791.580017
40550,787.830017
40549,791.419983
40548,795.090027
40547,785.830017
40546,798.559998
40543,783.650024
40542,789.73999
40541,790.26001
40540,789.460022
40539,792.349976
40535,788.960022
40534,790.590027
40533,790.52002
40532,782.299988
40529,779.51001
40528,776.559998
40527,768.359985
40526,771.659973
40525,772.099976
40522,776.830017
40521,767.630005
40520,764.039978
40519,764.419983
40518,760.859985
40515,756.419983
40514,751.200012
40513,743.140015
40512,727.01001
40511,731.950012
40508,732.72998
40506,736.530029
40505,719.929993
40504,727.330017
40501,724.359985
40500,720.840027
40499,707.77002
40498,705.340027
40497,719.940002
40494,719.27002
40493,731.580017
40492,734.869995
40491,725.97998
40490,736.77002
40487,736.590027
40486,733.460022
40485,715.140015
40484,712.890015
40483,698.559998
40480,703.349976
40479,701.030029
40478,704.22998
40477,706.929993
40476,707.890015
40473,703.429993
40472,698.119995
40471,702.109985
40470,694.150024
40469,710.130005
40466,703.159973
40465,704.690002
40464,706.469971
40463,696.039978
40462,693.47998
40459,693.820007
40458,684.22998
40457,685.330017
40456,689.349976
40455,669.450012
40452,679.289978
40451,676.140015
40450,677.640015
40449,675.429993
40448,668.289978
40445,671.01001
40444,648.840027
40443,656.710022
40442,664.659973
40441,669.97998
40438,651.440002
40437,647.809998
40436,652.51001
40435,649.22998
40434,652.280029
40431,636.460022
40430,634.619995
40429,634.25
