Date,Boeing,McDonalds,Nike,Walmart
42689,141.971542,112.318993,48.885887,67.891319
42690,140.370758,113.163849,49.422237,67.862801
42691,139.306763,113.391678,50.30965,65.771492
42692,140.284485,113.91378,49.831814,65.153603
42695,140.926712,113.439148,50.007343,65.942596
42696,143.323105,113.619514,50.426674,66.655533
42697,143.533981,114.046684,50.065853,67.330475
42699,143.821548,114.540321,50.24139,67.710709
42702,143.562744,115.641472,49.744045,67.672676
42703,145.355225,115.45015,49.373478,67.843788
42704,144.319977,114.101242,48.827377,66.950233
42705,146.074158,113.33593,49.571194,67.178368
42706,145.939957,113.115875,49.385231,67.377983
42709,145.853699,114.120377,50.745632,66.484444
42710,145.930374,114.082115,49.492889,66.88369
42711,147.751633,114.723076,50.990303,67.592155
42712,148.949814,115.23011,50.452015,67.343231
42713,150.004242,116.005005,50.618397,67.094322
42716,150.646484,116.464211,50.442234,68.61657
42717,150.167191,117.363464,51.186043,68.741043
42718,148.067947,117.516525,50.686905,68.300629
42719,147.396957,117.057343,50.197556,68.051704
42720,148.096695,117.8992,49.835438,67.955963
42723,149.707077,117.660042,49.76693,68.530403
42724,149.908371,117.985306,50.686905,68.760185
42725,150.953171,117.841805,51.186043,68.204895
42726,150.934036,118.358406,51.029449,66.625183
42727,151.269516,117.803543,50.804356,66.577324
42731,150.953171,117.73658,50.197556,66.730499
42732,149.630402,117.363464,49.933304,66.357109
42733,149.237381,117.468704,49.972454,66.30925
42734,149.227783,116.445076,49.747356,66.175209
42738,150.46434,114.436089,50.87286,65.734802
42739,152.045929,114.302147,51.939644,66.11776
42740,152.132233,114.512611,51.929859,66.261375
42741,152.506058,115.526672,52.761749,65.351852
42744,151.758377,115.210976,52.243042,65.782692
42745,152.47728,115.038788,51.978798,65.32312
42746,152.79361,115.641472,51.567734,65.610352
42747,151.72963,116.808609,51.283913,65.074203
42748,152.247223,116.234612,51.792831,64.269989
42752,151.135315,117.430443,52.507294,65.505035
42753,151.758377,117.392166,52.135387,65.208244
42754,152.410187,116.885147,51.802624,64.739128
42755,152.918213,116.96167,52.066875,64.317871
42758,151.298279,116.119797,52.10603,63.810448
42759,153.89595,115.804108,52.31155,64.528488
42760,160.423721,116.512047,52.712811,64.040207
42761,162.110764,116.598145,52.507294,63.887043
42762,160.749603,117.535675,52.057083,62.862621
42765,158.707901,117.688736,51.949432,63.59024
42766,156.647003,117.25824,51.773266,63.89661
42767,157.174225,117.114746,51.890713,63.408337
42768,155.535095,117.880066,51.675396,63.858307
42769,155.669281,118.855865,51.24477,63.666836
42772,157.183807,119.05677,51.675396,63.571098
42773,159.59935,119.190697,51.685181,64.040207
42774,158.371521,119.267227,52.732391,64.921021
42775,158.825928,119.085472,54.131939,66.136917
42776,160.711166,120.367401,55.022556,65.12207
42779,162.451416,120.099533,54.895317,64.882721
42780,162.905807,120.357834,55.247654,65.734802
42781,163.67926,120.99881,55.433605,65.763535
42782,165.13913,121.209267,55.091057,65.935867
42783,166.976059,122.261597,55.541264,66.414558
42787,169.73143,122.49118,56.138268,68.405937
42788,169.538055,122.309418,56.999527,68.654861
42789,170.988251,122.711235,56.167633,68.271904
42790,171.548996,123.074745,56.627621,69.305893
42793,173.472931,122.380882,56.461239,68.683586
42794,174.246353,123.016937,55.942528,67.908096
42795,177.804199,124.366119,56.715706,67.448547
42796,176.914749,123.575882,56.745155,67.745338
42797,176.131638,123.257866,55.66523,67.04644
42800,174.923126,123.383133,55.733952,66.902832
42801,175.976959,123.421692,55.517967,66.893257
42802,175.706253,123.440964,55.478691,67.317604
42803,174.575089,123.489136,55.331436,67.375473
42804,172.767166,123.334946,55.400158,67.606949
42807,173.10556,122.978371,55.635773,67.462273
42808,172.796188,123.161491,56.234642,68.204887
42809,172.77684,123.238579,56.607712,68.069862
42810,172.274094,123.334946,56.548805,67.934845
42811,174.120697,123.970985,56.745155,67.404411
42814,173.43425,124.105919,57.609093,67.491219
42815,170.118164,123.855354,56.951317,67.414055
42816,171.104279,124.414299,52.935963,67.75161
42817,171.374985,124.317924,54.359501,67.375473
42818,169.982803,124.645576,55.331436,67.134354
42821,170.25351,124.790146,54.909286,67.182602
42822,171.471664,124.751595,55.586689,67.819115
42823,171.732697,124.163742,55.645592,68.224174
42824,172.071075,124.626328,55.017273,69.043945
42825,170.988251,124.905792,54.712936,69.516525
42828,170.785217,124.905792,54.54604,69.275414
42829,172.767166,124.597404,54.035522,69.449013
42830,171.200958,125.676758,53.976624,69.101814
42831,171.481323,125.426178,54.133701,68.889648
42832,172.912201,125.243095,54.104244,70.307358
42835,171.665009,125.262352,53.898079,70.46167
42836,172.641495,126.43808,53.917713,70.818504
42837,170.205139,126.495911,54.555851,70.828156
42838,169.789444,126.014053,54.330055,70.54847
42842,173.076538,126.582626,55.213627,70.876373
42843,171.945404,127.498169,55.085995,71.262154
42844,172.477127,127.825821,54.840561,71.435753
42845,173.34726,128.432953,55.370708,72.139786
42846,174.391418,128.567871,54.830738,72.274803
42849,176.015625,129.358109,54.457684,72.120499
42850,177.41748,136.556976,54.438042,72.380898
42851,175.677246,135.728195,54.153336,72.747375
42852,177.137115,135.757111,54.457684,72.757019
42853,178.693665,134.851227,54.398777,72.506271
42856,176.334671,136.026947,53.986435,72.554497
